CountryCode,CityName,Type
ru,tura,Valid
pa,jaque,Valid
ch,uster,Valid
us,destin,Valid
XX,InvalidCity_86,Invalid
ca,north bay,Valid
ng,biu,Valid
sv,sonzacate,Valid
ru,sudislavl,Valid
ru,alabino,Valid
md,leova,Valid
ru,kirgiz-miyaki,Valid
nl,asten,Valid
us,adelanto,Valid
XX,InvalidCity_70,Invalid
za,richards bay,Valid
ng,biu,Valid
ca,wiarton,Valid
XX,InvalidCity_75,Invalid
ch,uster,Valid
ph,caloocan,Valid
jp,atami,Valid
id,sukabumi,Valid
br,artur nogueira,Valid
hu,herend,Valid
pa,buena vista,Valid
no,sauda,Valid
XX,InvalidCity_81,Invalid
br,custodia,Valid
hu,kerekegyhaza,Valid
ch,uster,Valid
ru,volchikha,Valid
in,chopan,Valid
XX,InvalidCity_40,Invalid
ch,uster,Valid
zm,mpongwe,Valid
ua,bolekhiv,Valid
us,colchester,Valid
in,chopan,Valid
bo,sipe sipe,Valid
nz,clyde,Valid
pk,shahpur city,Valid
ph,san nicolas,Valid
de,gaggenau,Valid
gt,atescatempa,Valid
br,luz,Valid
ws,fogatuli,Valid
br,itaberai,Valid
mx,jacala,Valid
de,verl,Valid
at,hopfgarten,Valid
ch,uster,Valid
kz,stepnyak,Valid
uz,termiz,Valid
ua,teplodar,Valid
cd,kamina,Valid
es,montoro,Valid
in,kamareddi,Valid
pk,shahpur city,Valid
mx,el sauzal,Valid
pk,shahpur city,Valid
us,gardner,Valid
us,tulsa,Valid
ph,bolaoit,Valid
co,totoro,Valid
in,chopan,Valid
us,tulsa,Valid
rs,despotovac,Valid
ph,japitan,Valid
gr,strimonikon,Valid
mx,tototlan,Valid
in,gajraula,Valid
in,dera baba nanak,Valid
ro,studina,Valid
ph,nueva fuerza,Valid
ch,uster,Valid
us,tulsa,Valid
in,chopan,Valid
ru,dyshne-vedeno,Valid
ph,rimos,Valid
co,momil,Valid
XX,InvalidCity_42,Invalid
ch,uster,Valid
no,hauknes,Valid
no,brandsoy,Valid
th,nong chik,Valid
XX,InvalidCity_19,Invalid
ml,nara,Valid
mx,xometla,Valid
in,jhalawar,Valid
nz,clyde,Valid
ru,bukachacha,Valid
in,chopan,Valid
pt,porto santo,Valid
ph,santa monica,Valid
it,giugliano in campania,Valid
in,pali,Valid
XX,InvalidCity_18,Invalid
ni,waslala,Valid
in,raisen,Valid
no,tornes,Valid
ng,biu,Valid
gb,aylesbury,Valid
in,haringhata,Valid
ru,vychegodskiy,Valid
ng,biu,Valid
fr,comines,Valid
co,santa barbara,Valid
pa,panama,Valid
XX,InvalidCity_0,Invalid
do,la romana,Valid
XX,InvalidCity_82,Invalid
us,roosevelt,Valid
us,shelton,Valid
nz,clyde,Valid
pk,gujar khan,Valid
XX,InvalidCity_54,Invalid
it,anagni,Valid
mx,palenque,Valid
it,ardea,Valid
ve,san felipe,Valid
nz,clyde,Valid
us,highland park,Valid
at,judenburg,Valid
XX,InvalidCity_56,Invalid
us,edison,Valid
be,aalter,Valid
XX,InvalidCity_69,Invalid
in,chopan,Valid
et,bedesa,Valid
no,as,Valid
it,ostuni,Valid
XX,InvalidCity_94,Invalid
hu,kapolnasnyek,Valid
ro,horgesti,Valid
ru,sudislavl,Valid
lc,vieux fort,Valid
no,sauda,Valid
de,drolshagen,Valid
es,andujar,Valid
bg,varna,Valid
pa,nargana,Valid
it,santeramo in colle,Valid
ph,santa cruz,Valid
br,urupes,Valid
fo,hestur,Valid
XX,InvalidCity_67,Invalid
cn,kaili,Valid
de,meppen,Valid
us,southglenn,Valid
ru,klyuchevskiy,Valid
in,chopan,Valid
ru,verbilki,Valid
de,bad wildungen,Valid
us,tulsa,Valid
sv,delgado,Valid
pk,shahpur city,Valid
id,sumedang,Valid
ru,khristoforovo,Valid
tz,mlandizi,Valid
us,dublin,Valid
tr,sungurlu,Valid
XX,InvalidCity_5,Invalid
gb,newtonmore,Valid
ru,sudislavl,Valid
ro,bogdan voda,Valid
nz,clyde,Valid
in,khour,Valid
XX,InvalidCity_62,Invalid
hu,tiszanana,Valid
ru,visim,Valid
br,ibirite,Valid
bj,natitingou,Valid
id,tangerang,Valid
pl,sosnowiec,Valid
ru,barybino,Valid
cn,kaili,Valid
fr,metz,Valid
no,sauda,Valid
cn,jiangyan,Valid
ru,sudislavl,Valid
nz,clyde,Valid
pk,shahpur city,Valid
be,zelzate,Valid
pk,cherat,Valid
us,peterborough,Valid
ng,biu,Valid
ro,lisa,Valid
hu,bohonye,Valid
gr,kranidion,Valid
in,chopan,Valid
ru,ust-kamchatsk,Valid
ru,sudislavl,Valid
XX,InvalidCity_77,Invalid
no,sauda,Valid
nz,clyde,Valid
pl,nowy tomysl,Valid
de,ihlow,Valid
ro,tetoiu,Valid
pk,shahpur city,Valid
mm,pyapon,Valid
ph,san nicolas,Valid
nz,clyde,Valid
hu,zalalovo,Valid
in,deori khas,Valid
lk,chavakachcheri,Valid
pl,wysokie mazowieckie,Valid
ro,balesti,Valid
XX,InvalidCity_33,Invalid
no,sauda,Valid
br,pimenta bueno,Valid
gr,iraklion,Valid
in,nagercoil,Valid
XX,InvalidCity_66,Invalid
XX,InvalidCity_52,Invalid
XX,InvalidCity_8,Invalid
us,north valley,Valid
in,gadarwara,Valid
XX,InvalidCity_13,Invalid
us,tulsa,Valid
fi,kuusankoski,Valid
no,storebo,Valid
ru,armizonskoye,Valid
ug,soroti,Valid
cz,dobrany,Valid
pk,shahpur city,Valid
ru,kolobovo,Valid
ru,shipitsyno,Valid
gr,iraklion,Valid
in,kaimur,Valid
no,sauda,Valid
de,blomberg,Valid
kz,mikhaylovka,Valid
co,san onofre,Valid
in,chopan,Valid
ng,biu,Valid
ph,banganan,Valid
us,tulsa,Valid
ru,chuchkovo,Valid
br,buritama,Valid
mx,san rafael,Valid
mx,tequila,Valid
us,tulsa,Valid
ru,sudislavl,Valid
gr,tinos,Valid
co,pradera,Valid
dk,jaegerspris,Valid
id,singaparna,Valid
XX,InvalidCity_97,Invalid
ru,novodmitriyevskaya,Valid
us,tulsa,Valid
us,tulsa,Valid
pk,shahpur city,Valid
ua,ivanivka,Valid
us,westfield,Valid
ph,santa cruz,Valid
pk,khangarh,Valid
it,lariano,Valid
us,tulsa,Valid
us,canyon lake,Valid
XX,InvalidCity_36,Invalid
pk,sann,Valid
XX,InvalidCity_85,Invalid
cz,rudolfov,Valid
de,rhede,Valid
ro,rosia,Valid
us,kilgore,Valid
ro,butoiesti,Valid
in,chopan,Valid
ng,biu,Valid
gr,khoriyion,Valid
cn,kaili,Valid
pk,shahpur city,Valid
de,groditz,Valid
gb,bishop auckland,Valid
XX,InvalidCity_31,Invalid
bo,warnes,Valid
de,pfullendorf,Valid
in,bhanpuri,Valid
cn,kaili,Valid
mx,hueypoxtla,Valid
mx,loma bonita,Valid
de,blieskastel,Valid
be,kinrooi,Valid
de,balingen,Valid
id,mataram,Valid
ch,payerne,Valid
us,tulsa,Valid
pe,ricardo palma,Valid
ru,sudislavl,Valid
ng,biu,Valid
nz,clyde,Valid
gr,iraklion,Valid
gr,nea tirins,Valid
ro,islaz,Valid
ru,bogoslovka,Valid
no,sauda,Valid
ph,manalad,Valid
in,champa,Valid
no,sauda,Valid
XX,InvalidCity_2,Invalid
jp,ijuin,Valid
fi,naantali,Valid
ro,piatra neamt,Valid
in,chopan,Valid
my,kuala pilah,Valid
us,salisbury,Valid
za,kroonstad,Valid
ru,bezenchuk,Valid
XX,InvalidCity_35,Invalid
at,ansfelden,Valid
ar,azul,Valid
ru,spassk,Valid
ca,gibsons,Valid
XX,InvalidCity_96,Invalid
in,chopan,Valid
XX,InvalidCity_37,Invalid
ru,krasnooktyabrskiy,Valid
dk,arden,Valid
in,tiruppur,Valid
ng,nkpor,Valid
ru,sudislavl,Valid
ru,zhirnov,Valid
it,leverano,Valid
in,chopan,Valid
ch,uster,Valid
ro,calnic,Valid
gb,exeter,Valid
co,nataga,Valid
ch,uster,Valid
pk,shahpur city,Valid
fr,avignon,Valid
pk,shahpur city,Valid
in,alandur,Valid
ro,dichiseni,Valid
us,pullman,Valid
pk,shahpur city,Valid
XX,InvalidCity_32,Invalid
de,wurzen,Valid
no,os,Valid
in,vandalur,Valid
in,penugonda,Valid
in,arukutti,Valid
ro,timisoara,Valid
ph,igbaras,Valid
rs,kac,Valid
us,gilbert,Valid
ro,craciunesti,Valid
us,taos,Valid
ru,marfino,Valid
hu,dusnok,Valid
rs,bac,Valid
it,massarosa,Valid
in,arani,Valid
br,iconha,Valid
XX,InvalidCity_41,Invalid
cn,kaili,Valid
cn,jishou,Valid
ph,arenas,Valid
jp,kudamatsu,Valid
ge,lentekhi,Valid
ng,biu,Valid
ph,bulualto,Valid
pk,shahpur city,Valid
mx,san sebastian el grande,Valid
ua,lukiv,Valid
ee,ardu,Valid
XX,InvalidCity_79,Invalid
no,flesland,Valid
za,brits,Valid
ch,uster,Valid
in,chopan,Valid
ng,biu,Valid
ng,biu,Valid
XX,InvalidCity_93,Invalid
cn,nanlong,Valid
bo,boyuibe,Valid
gn,forecariah,Valid
gt,cuilco,Valid
ph,vargas,Valid
XX,InvalidCity_92,Invalid
br,regente feijo,Valid
XX,InvalidCity_80,Invalid
pa,el cortezo,Valid
hu,tiszabezded,Valid
ru,partizanskoye,Valid
ph,kanluran,Valid
gw,catio,Valid
in,annamalainagar,Valid
XX,InvalidCity_43,Invalid
gr,iraklion,Valid
ph,ponong,Valid
ug,lukaya,Valid
XX,InvalidCity_98,Invalid
us,franconia,Valid
ch,munsingen,Valid
am,artsvaberd,Valid
pk,shahpur city,Valid
XX,InvalidCity_90,Invalid
gr,asvestokhorion,Valid
es,andoain,Valid
nz,clyde,Valid
ph,bacabac,Valid
cz,rychnov nad kneznou,Valid
co,baraya,Valid
ua,sloboda,Valid
gr,iraklion,Valid
de,voerde,Valid
cn,mianyang,Valid
us,tulsa,Valid
be,baarle-hertog,Valid
XX,InvalidCity_48,Invalid
my,sungai siput utara,Valid
XX,InvalidCity_63,Invalid
XX,InvalidCity_89,Invalid
ru,sudislavl,Valid
mx,papalotla,Valid
pe,pangoa,Valid
XX,InvalidCity_99,Invalid
us,norco,Valid
ro,grivita,Valid
XX,InvalidCity_58,Invalid
us,martinsville,Valid
bo,arani,Valid
pk,shahpur city,Valid
ch,uster,Valid
fr,plan-de-cuques,Valid
it,certaldo,Valid
ph,gang,Valid
mx,guelavia,Valid
us,beech grove,Valid
no,sauda,Valid
br,malhador,Valid
mx,tecamac,Valid
nz,clyde,Valid
mx,villa guerrero,Valid
us,cambridge,Valid
ro,valenii de munte,Valid
za,alberton,Valid
XX,InvalidCity_25,Invalid
es,calatayud,Valid
de,moglingen,Valid
us,clayton,Valid
ph,bacag,Valid
gt,santa cruz verapaz,Valid
in,nandigama,Valid
us,sturgis,Valid
cn,kaili,Valid
ch,uster,Valid
XX,InvalidCity_88,Invalid
cu,caibarien,Valid
us,socorro,Valid
us,conway,Valid
in,pahalgam,Valid
us,bridgton,Valid
ua,kozova,Valid
hn,tegucigalpa,Valid
ru,sudislavl,Valid
bg,kaspican,Valid
se,trelleborg,Valid
eg,rosetta,Valid
ng,biu,Valid
XX,InvalidCity_83,Invalid
es,conil,Valid
ph,naile,Valid
pa,boqueron,Valid
ch,trimbach,Valid
gr,iraklion,Valid
ru,chekalin,Valid
XX,InvalidCity_3,Invalid
us,collinsville,Valid
us,the woodlands,Valid
ro,roma,Valid
mx,tihuatlan,Valid
XX,InvalidCity_12,Invalid
ch,uster,Valid
hn,san jose de rio tinto,Valid
ph,cagayan de oro,Valid
us,forest grove,Valid
de,mulheim-karlich,Valid
XX,InvalidCity_22,Invalid
mx,dzidzantun,Valid
ke,chepareria,Valid
sn,tambacounda,Valid
cn,kaili,Valid
de,bamberg,Valid
pl,szydlowiec,Valid
XX,InvalidCity_61,Invalid
ro,andrasesti,Valid
pt,portalegre,Valid
ro,varsag,Valid
ph,sarangani,Valid
nl,delfzijl,Valid
us,fairmont,Valid
gr,doliana,Valid
co,marulanda,Valid
us,superior,Valid
lu,dippach,Valid
XX,InvalidCity_15,Invalid
us,toa baja,Valid
bg,varna,Valid
tz,mwadui,Valid
cz,pardubice,Valid
it,lentate sul seveso,Valid
de,meerbusch,Valid
es,caceres,Valid
id,banyuwangi,Valid
rs,svrljig,Valid
XX,InvalidCity_10,Invalid
in,chopan,Valid
in,kottapalli,Valid
XX,InvalidCity_72,Invalid
ch,uster,Valid
ca,wasaga beach,Valid
ie,templemore,Valid
de,stollberg,Valid
gr,iraklion,Valid
us,tulsa,Valid
pk,chak jhumra,Valid
ro,armasesti,Valid
ph,naguilayan,Valid
XX,InvalidCity_84,Invalid
am,maralik,Valid
ru,sudislavl,Valid
fr,saint-cyr-sur-loire,Valid
gr,ithaki,Valid
pl,debica,Valid
us,middle valley,Valid
sk,tvrdosin,Valid
gb,tarland,Valid
in,nattam,Valid
XX,InvalidCity_16,Invalid
us,fajardo,Valid
gb,maesteg,Valid
tm,dasoguz,Valid
XX,InvalidCity_28,Invalid
hu,budakeszi,Valid
pk,shahpur city,Valid
be,boom,Valid
lu,hautcharage,Valid
ru,irbit,Valid
lu,perle,Valid
bg,kaolinovo,Valid
be,beveren,Valid
gr,tragana,Valid
gt,san antonio palopo,Valid
no,sauda,Valid
no,sauda,Valid
ph,atop-atop,Valid
ph,asin,Valid
hu,csepreg,Valid
ru,shumikha,Valid
mx,cuetzalan,Valid
ru,sudislavl,Valid
ru,uptar,Valid
cn,kaili,Valid
XX,InvalidCity_44,Invalid
jp,ota,Valid
cn,kaili,Valid
de,weilheim,Valid
cz,prostejov,Valid
us,leominster,Valid
ro,stanesti,Valid
ng,biu,Valid
cn,kaili,Valid
fr,la crau,Valid
ng,biu,Valid
gr,iraklion,Valid
ro,gornet-cricov,Valid
br,sousa,Valid
nz,clyde,Valid
gr,iraklion,Valid
ro,gornet-cricov,Valid
mx,altotonga,Valid
XX,InvalidCity_68,Invalid
be,kortessem,Valid
XX,InvalidCity_20,Invalid
in,kankavli,Valid
ru,nizhnyaya pavlovka,Valid
cn,kaili,Valid
ru,sudislavl,Valid
gr,tripoli,Valid
jp,kuroishi,Valid
it,spilimbergo,Valid
ee,tamme,Valid
in,chopan,Valid
in,bali chak,Valid
pl,bystrzyca klodzka,Valid
ru,seredka,Valid
gb,basildon,Valid
ro,brodina,Valid
in,eral,Valid
gr,iraklion,Valid
br,jutai,Valid
in,sandila,Valid
us,green valley,Valid
cn,jiaocheng,Valid
ua,sloboda,Valid
nl,borsele,Valid
co,mongua,Valid
XX,InvalidCity_59,Invalid
ru,mariinsk,Valid
us,jacksonville,Valid
ng,biu,Valid
ke,baringo,Valid
gt,acatenango,Valid
in,balarampur,Valid
ro,gheraseni,Valid
de,konigs wusterhausen,Valid
ru,sudislavl,Valid
XX,InvalidCity_21,Invalid
cd,gbadolite,Valid
pl,sochaczew,Valid
XX,InvalidCity_34,Invalid
us,tulsa,Valid
XX,InvalidCity_17,Invalid
XX,InvalidCity_65,Invalid
lc,soufriere,Valid
co,cienaga,Valid
ng,biu,Valid
no,sauda,Valid
id,rangkasbitung,Valid
XX,InvalidCity_1,Invalid
br,itainopolis,Valid
ie,athlone,Valid
pk,shahpur city,Valid
tz,shinyanga,Valid
jm,mandeville,Valid
us,danville,Valid
nl,aalburg,Valid
de,malchin,Valid
mx,guasave,Valid
XX,InvalidCity_4,Invalid
us,idaho falls,Valid
gr,vari,Valid
hu,gyomaendrod,Valid
ro,basesti,Valid
in,basavana bagevadi,Valid
no,hylla,Valid
mx,xicotencatl,Valid
ph,tapaz,Valid
us,norco,Valid
ru,aksha,Valid
ru,sovetsk,Valid
pk,pasrur,Valid
ng,biu,Valid
ma,rabat,Valid
it,molinella,Valid
cz,hodonin,Valid
de,altena,Valid
us,tullahoma,Valid
br,senador guiomard,Valid
gr,iraklion,Valid
ro,costesti,Valid
XX,InvalidCity_39,Invalid
us,olean,Valid
ch,uster,Valid
ar,san martin,Valid
ph,mainit,Valid
gr,aspros,Valid
nz,clyde,Valid
ph,quinapondan,Valid
mx,pichataro,Valid
pt,sobreira,Valid
us,germantown,Valid
ni,nindiri,Valid
br,muzambinho,Valid
us,prior lake,Valid
cu,abreus,Valid
ph,tayud,Valid
mx,campo gobierno,Valid
sk,nova bana,Valid
tz,mtambile,Valid
ru,novougolnyy,Valid
tr,bingol,Valid
il,savyon,Valid
mx,tecoman,Valid
gr,iraklion,Valid
tz,misasi,Valid
cn,kaili,Valid
no,brusand,Valid
ng,biu,Valid
gr,iraklion,Valid
uz,samarkand,Valid
it,casalmaggiore,Valid
ch,uster,Valid
br,arraial do cabo,Valid
gb,ladybank,Valid
no,eikeland,Valid
ph,talomo,Valid
ru,chadan,Valid
au,melton,Valid
cn,kaili,Valid
no,lindas,Valid
XX,InvalidCity_46,Invalid
us,bedford heights,Valid
pk,nasirabad,Valid
gr,iraklion,Valid
fr,biarritz,Valid
dk,ronne,Valid
ru,yanchukan,Valid
ru,bereza,Valid
ru,sladkovo,Valid
br,bastos,Valid
XX,InvalidCity_7,Invalid
cz,prestice,Valid
ph,bitaogan,Valid
am,argavand,Valid
pl,ostroleka,Valid
ph,bayog,Valid
gb,drumnadrochit,Valid
ca,vegreville,Valid
th,mae hong son,Valid
gr,iraklion,Valid
ua,viytivka,Valid
ru,zhigalovo,Valid
us,tulsa,Valid
ru,novaya maka,Valid
pa,tubuala,Valid
sk,bojnice,Valid
ca,saint-gabriel,Valid
ph,sagacad,Valid
es,albal,Valid
ro,izvoarele,Valid
pk,shahpur city,Valid
ch,uster,Valid
fo,kirkja,Valid
in,odlabari,Valid
ee,pisisaare,Valid
py,jesus,Valid
it,gaeta,Valid
XX,InvalidCity_91,Invalid
hn,agalteca,Valid
nl,best,Valid
gt,huitan,Valid
no,sauda,Valid
nz,clyde,Valid
ro,bosanci,Valid
ru,taytsy,Valid
gt,chahal,Valid
XX,InvalidCity_51,Invalid
tz,nyakahanga,Valid
XX,InvalidCity_53,Invalid
ru,khanskaya,Valid
XX,InvalidCity_45,Invalid
et,goba,Valid
pl,wrzesnia,Valid
in,chopan,Valid
XX,InvalidCity_6,Invalid
in,deshnok,Valid
XX,InvalidCity_14,Invalid
ru,ust-ishim,Valid
ru,vypolzovo,Valid
pt,aguada de cima,Valid
no,sauda,Valid
br,viana,Valid
ru,ust-katav,Valid
ro,doicesti,Valid
cn,kaili,Valid
gr,iraklion,Valid
ro,lupsa,Valid
us,milton,Valid
gr,iraklion,Valid
ca,maskinonge,Valid
ph,kalamansig,Valid
ph,bunga,Valid
de,leichlingen,Valid
ru,frolovo,Valid
us,weatherford,Valid
mx,valle de santiago,Valid
hu,ujkigyos,Valid
us,east massapequa,Valid
us,north highlands,Valid
cn,kaili,Valid
us,macon,Valid
hu,otteveny,Valid
XX,InvalidCity_9,Invalid
ph,baylo,Valid
be,rouvroy,Valid
de,suhl,Valid
gb,hatfield,Valid
jp,ogawara,Valid
jp,mikasa,Valid
no,sauda,Valid
fr,meru,Valid
br,vitorino freire,Valid
us,newport,Valid
gf,saint-georges,Valid
ph,bayuin,Valid
gr,iraklion,Valid
sk,humenne,Valid
nz,clyde,Valid
tz,katerero,Valid
us,pompano beach highlands,Valid
ph,san pedro,Valid
mx,el tejar,Valid
cn,kaili,Valid
XX,InvalidCity_29,Invalid
ph,kapatan,Valid
us,waynesville,Valid
br,pontal do parana,Valid
ru,sudislavl,Valid
in,chopan,Valid
ro,suplacu de barcau,Valid
ru,novotalitsy,Valid
ba,vidosi,Valid
th,bua yai,Valid
ru,lomovka,Valid
ph,baras,Valid
gr,iraklion,Valid
eg,asyut,Valid
ch,zumikon,Valid
gr,galatas,Valid
pk,shahpur city,Valid
hu,ebes,Valid
br,resplendor,Valid
br,monte alto,Valid
br,una,Valid
no,muruvik,Valid
XX,InvalidCity_78,Invalid
ro,topolovatu mare,Valid
in,vasai,Valid
us,harper woods,Valid
ru,sudislavl,Valid
tt,sangre grande,Valid
ph,bataraza,Valid
XX,InvalidCity_27,Invalid
ru,gunib,Valid
in,delvada,Valid
us,tulsa,Valid
nz,clyde,Valid
br,guarapari,Valid
ru,kamennogorsk,Valid
XX,InvalidCity_87,Invalid
XX,InvalidCity_55,Invalid
ru,sudislavl,Valid
co,viracacha,Valid
us,dover,Valid
de,losheim,Valid
us,east highland park,Valid
cn,kaili,Valid
gt,santa catarina palopo,Valid
us,tulsa,Valid
us,salinas,Valid
tr,eregli,Valid
ph,dingle,Valid
no,eggkleiva,Valid
rs,ostruznica,Valid
XX,InvalidCity_57,Invalid
cz,kelc,Valid
cn,kaili,Valid
us,hinesville,Valid
ca,saint thomas,Valid
ru,bogolyubovo,Valid
kz,oskemen,Valid
in,chopan,Valid
ru,aginskoye,Valid
us,tulsa,Valid
us,cottonwood,Valid
ca,eganville,Valid
ro,gilau,Valid
gb,rosneath,Valid
in,kanchrapara,Valid
br,remanso,Valid
et,aksum,Valid
us,roseland,Valid
no,sauda,Valid
cf,gamboula,Valid
ng,biu,Valid
ru,sudislavl,Valid
no,sauda,Valid
ro,scutelnici,Valid
tr,talas,Valid
XX,InvalidCity_49,Invalid
us,goshen,Valid
XX,InvalidCity_64,Invalid
co,la uvita,Valid
us,tulsa,Valid
fr,la garenne-colombes,Valid
nz,edgecumbe,Valid
sa,najran,Valid
in,turuvekere,Valid
hn,concordia,Valid
XX,InvalidCity_60,Invalid
ch,uster,Valid
XX,InvalidCity_50,Invalid
ru,sudislavl,Valid
in,pratapgarh,Valid
pl,mogilno,Valid
hu,orbottyan,Valid
cn,yanzhou,Valid
no,sauda,Valid
nz,clyde,Valid
de,saarbrucken,Valid
pk,jhawarian,Valid
ru,sudislavl,Valid
ro,corni,Valid
de,lubeck,Valid
nz,clyde,Valid
us,green bay,Valid
ph,culubasa,Valid
XX,InvalidCity_23,Invalid
ru,sharkan,Valid
us,hallandale beach,Valid
br,eloi mendes,Valid
gr,yiannitsa,Valid
hn,laguna seca,Valid
ch,uster,Valid
br,piracicaba,Valid
gb,lanark,Valid
nz,clyde,Valid
in,ranikhet,Valid
nz,clyde,Valid
ua,khymchyn,Valid
gt,san lucas sacatepequez,Valid
it,santhia,Valid
cn,harbin,Valid
ph,dalipuga,Valid
cn,hami,Valid
pk,shahpur city,Valid
ch,uster,Valid
ro,sirineasa,Valid
ru,losino-petrovskiy,Valid
XX,InvalidCity_11,Invalid
mx,chacaltianguis,Valid
it,alghero,Valid
no,sauda,Valid
gr,paravola,Valid
uz,turtkul,Valid
ru,kalya,Valid
ru,verkhoshizhemye,Valid
ro,perisor,Valid
us,pembroke,Valid
co,fundacion,Valid
ch,uster,Valid
us,tulsa,Valid
ne,dosso,Valid
gr,iraklion,Valid
ro,visina,Valid
tz,ikwiriri,Valid
cn,kaili,Valid
hn,silca,Valid
XX,InvalidCity_26,Invalid
za,witbank,Valid
de,verden,Valid
XX,InvalidCity_47,Invalid
ru,mayskiy,Valid
cu,sagua la grande,Valid
fr,senlis,Valid
ro,umbraresti,Valid
XX,InvalidCity_95,Invalid
gr,iraklion,Valid
ch,thun,Valid
sl,makali,Valid
XX,InvalidCity_24,Invalid
pk,shahpur city,Valid
hu,zsambek,Valid
pl,lowicz,Valid
mx,santa maria del rio,Valid
nz,clyde,Valid
br,cacule,Valid
be,beaumont,Valid
ru,sudislavl,Valid
us,tulsa,Valid
ng,biu,Valid
za,vrede,Valid
in,chopan,Valid
cn,kaili,Valid
gt,chahal,Valid
sn,foundiougne,Valid
ru,zhdankovskiy,Valid
XX,InvalidCity_76,Invalid
mx,armeria,Valid
us,watauga,Valid
ph,patawag,Valid
it,trezzo,Valid
br,silvania,Valid
cn,kaili,Valid
cl,victoria,Valid
ru,bavtugay,Valid
no,sauda,Valid
ch,jona,Valid
am,verishen,Valid
XX,InvalidCity_38,Invalid
XX,InvalidCity_74,Invalid
mx,zacualpan,Valid
co,caldono,Valid
XX,InvalidCity_30,Invalid
ng,biu,Valid
ru,lukino,Valid
XX,InvalidCity_71,Invalid
us,south lake tahoe,Valid
gb,west kilbride,Valid
in,chopan,Valid
gr,ovria,Valid
no,sauda,Valid
be,kruibeke,Valid
no,bagn,Valid
lt,baltoji voke,Valid
XX,InvalidCity_73,Invalid
